trade_date,vix7,vix7_mode,vix7_d1,vix7_d2,vix7_code1,vix7_code2,vix14,vix14_mode,vix14_d1,vix14_d2,vix14_code1,vix14_code2,vix30,vix30_mode,vix30_d1,vix30_d2,vix30_code1,vix30_code2,n_expiry_used,n_expiry_near,n_expiry_near_ok,dte_near,F_near,K0_near,ba_ratio,strip_min,expiry_src,warnings,vix7_span,vix14_span,vix30_span,close_0050
2020-04-27,27.80013796040381,interp,2.0,23.0,202004W5,202005,28.11249447053898,interp,2.0,23.0,202004W5,202005,28.263597614336085,interp,23.0,51.0,202005,202006,6,2,2,2.0,10598.5,10550.0,0.6600302419354839,31.0,empirical,,21.0,21.0,28.0,20.815815001325205
2020-04-28,26.697800378329177,interp,1.0,22.0,202004W5,202005,27.04347185447743,interp,1.0,22.0,202004W5,202005,27.56872255753189,interp,22.0,50.0,202005,202006,6,2,2,1.0,10622.25,10600.0,0.5345982142857143,35.0,empirical,,21.0,21.0,28.0,20.815815001325205
2020-04-29,22.038383829884207,exact,7.0,7.0,202005W1,202005W1,26.007123580231728,interp,7.0,21.0,202005W1,202005,27.26272444384702,interp,21.0,49.0,202005,202006,6,3,2,7.0,10745.0,10700.0,0.6605603448275862,29.0,empirical,202004W5(d0):dte=0 < 1,0.0,14.0,28.0,21.105799098860327
2020-04-30,21.78415526736929,interp,6.0,20.0,202005W1,202005,26.37327242916544,interp,6.0,20.0,202005W1,202005,27.68262439035204,interp,20.0,48.0,202005,202006,6,2,2,6.0,10985.0,10950.0,0.6595643939393939,33.0,empirical,,14.0,14.0,28.0,21.55968725152399
2020-05-04,35.14115978743765,interp,2.0,16.0,202005W1,202005,35.10917677855514,interp,2.0,16.0,202005W1,202005,33.90150005838237,interp,16.0,44.0,202005,202006,6,2,2,2.0,10669.5,10650.0,0.6326013513513513,37.0,empirical,,14.0,14.0,28.0,20.92928703949112
2020-05-05,30.8476994947674,interp,1.0,15.0,202005W1,202005,31.258715481883627,interp,1.0,15.0,202005W1,202005,31.496012280727108,interp,15.0,43.0,202005,202006,6,2,2,1.0,10779.25,10750.0,0.4527027027027027,37.0,empirical,,14.0,14.0,28.0,21.030151073416384
2020-05-06,23.80639635812574,exact,7.0,7.0,202005W2,202005W2,30.126741830904603,exact,14.0,14.0,202005,202005,31.09479589353335,interp,14.0,42.0,202005,202006,6,3,2,7.0,10799.5,10750.0,0.6333333333333333,30.0,empirical,202005W1(d0):dte=0 < 1,0.0,0.0,28.0,21.055367081897696
2020-05-07,22.855752791461224,interp,6.0,13.0,202005W2,202005,27.6933684387304,interp,13.0,41.0,202005,202006,29.24205465307615,interp,13.0,41.0,202005,202006,6,2,2,6.0,10877.0,10850.0,0.5776041666666667,30.0,empirical,,7.0,28.0,28.0,21.143623111582297
2020-05-08,22.75442392213445,interp,5.0,12.0,202005W2,202005,25.97138416842917,interp,12.0,40.0,202005,202006,27.82597558422063,interp,12.0,40.0,202005,202006,6,3,3,5.0,10927.5,10900.0,0.5879103535353535,32.0,empirical,,7.0,28.0,28.0,21.269703153988868
2020-05-11,24.2745005376101,interp,2.0,9.0,202005W2,202005,25.8565210423426,interp,9.0,37.0,202005,202006,27.114799932571625,interp,9.0,37.0,202005,202006,6,3,3,2.0,11006.0,11000.0,0.5452967171717171,32.0,empirical,,7.0,28.0,28.0,21.44621521335808
2020-05-12,24.3017250996947,interp,1.0,8.0,202005W2,202005,26.34890590691833,interp,8.0,36.0,202005,202006,27.6706148682176,interp,8.0,36.0,202005,202006,6,3,3,1.0,10895.5,10850.0,0.5109126984126985,35.0,empirical,,7.0,28.0,28.0,21.194055128544925
2020-05-13,22.39853738602228,exact,7.0,7.0,202005,202005,25.499798940827656,interp,7.0,35.0,202005,202006,27.00858917981008,interp,7.0,35.0,202005,202006,5,3,2,7.0,10915.5,10900.0,0.622077922077922,66.0,empirical,202005W2(d0):dte=0 < 1,0.0,28.0,28.0,21.257095149748213
